FID,Month,Year,Used,ConBog,MarshGrass,Mixedwood,Opendec,BTrail_D,Edge_D,Road_D,Stream_D,Trail_D,Water_D,Ruggedness,E_Density
56,0,2017,0,0,0,0,0,6.8723502,5.6261301,6.8460398,5.1700802,9.3410997,6.90237,1,0
71,0,2017,0,0,0,0.0469799,0,7.9749799,5.7810798,3.43399,5.98037,8.2544899,7.3982801,1,0
72,0,2017,0,0,0,0,0,8.1145802,5.7071099,6.44731,6.4484401,8.3836203,6.9794402,3,0
73,0,2017,0,0,0.0067114,0,0,8.2314396,5.2121201,7.1155801,5.4925199,8.5005198,6.3362002,1,0
74,0,2017,0,0,0.583893,0,0,8.0789003,3.43399,7.5097899,4.8542099,8.6073799,5.0172801,0,0
75,0,2017,0,0,0.0067114,0,0,7.8773599,5.35186,7.5050402,6.5465598,8.7053499,5.7680202,2,0
76,0,2017,0,0,0,0,0,7.6272101,5.8603802,7.3749599,7.1655998,8.7955503,6.0722799,1,0
77,0,2017,0,0,0,0.0738255,0,7.2945299,5.9716501,7.3678298,7.31568,8.8789797,6.1835999,2,0
78,0,2017,0,0,0,0,0,6.8171902,5.9716501,7.4011402,7.1634402,8.9564695,6.70575,2,0
79,0,2017,0,0,0,0,0,6.0956998,6.3174801,7.29702,6.7294698,9.02876,6.75701,3,0
80,0,2017,0,0,0.0201342,0,0,0,3.77107,7.3443198,5.7810798,9.0964403,6.9345498,2,0
81,0,2017,0,0,0.14094,0,0,5.0910201,0,7.5093799,4.51086,9.1600399,6.4998999,6,0
82,0,2017,0,0,0,0,0,5.6021199,6.29496,7.6501698,6.5029502,9.2200003,6.6092801,2,0
83,0,2017,0,0,0,0,0,5.7071099,5.8301501,7.4762802,6.7151098,9.2767,7.0159302,1,0
84,0,2017,0,0,0,0,0,5.9191098,5.9476099,7.31389,6.5611901,9.3304501,7.2354999,2,0
126,0,2016,0,0.0067114,0,0.0402685,0,3.43399,6.32621,7.1086998,6.23809,9.6182604,7.3935299,2,0
127,0,2016,0,0,0,0,0,3.43399,6.2363701,7.3593302,6.8112102,9.6201696,7.4328499,1,0
128,0,2016,0,0,0,0,0,3.43399,6.0349398,7.4285798,7.1907701,9.6236401,7.37848,2,0
129,0,2016,0,0,0.0201342,0,0,3.43399,4.1108699,7.0468702,7.0899701,9.6286602,6.9149599,1,0
130,0,2016,0,0,0,0,0,0,5.2508898,6.5883799,6.6308999,9.63517,6.0650301,1,0
131,0,2016,0,0,0.0201342,0,0,5.0172801,4.8542099,6.5149598,6.4748302,9.6431103,5.6261301,1,0
132,0,2016,0,0,0,0,0,4.51086,5.6021199,6.7010002,6.5314898,9.6202803,6.7223401,1,0
133,0,2016,0,0,0.107383,0.0134228,0,0,4.2207098,5.3909101,5.3619099,9.5811996,5.9476099,2,0
134,0,2016,0,0,0,0,0,6.1539502,5.5570998,5.98037,5.8062201,9.5406799,6.0576701,2,0
135,0,2016,0,0,0,0,0,6.9425998,6.3174801,6.8625798,6.6765699,9.4986095,6.8766799,1,0
136,0,2016,0,0,0.0536913,0,0,7.3863201,4.5629802,6.5419002,7.1083999,9.4548798,7.349,1,
137,0,2016,0,0,0,0,0,7.6922102,6.3070898,6.77672,6.4937501,9.40938,7.6723099,1,
138,0,2016,0,0,0.0738255,0,0,7.9295702,4.1108699,6.2432299,4.1108699,9.3619804,7.6792898,2,
139,0,2016,0,0,0,0,0,8.1226196,6.2934198,4.6928701,6.23809,9.3125601,7.5724201,1,
140,0,2016,0,0,0,0,0,8.2844,6.9237599,6.5419002,6.77496,9.2609901,7.5479999,2,
141,0,2016,0,0,0,0,0,8.3078098,6.9289699,5.8888798,6.6409898,9.2070999,7.6179399,1,
142,0,2016,0,0,0,0,0,8.3487797,7.0643001,5.4847999,6.9675899,9.1507797,7.7508898,2,
143,0,2016,0,0,0,0,0,8.4050102,6.6214099,6.7345901,6.75701,9.0918798,7.8467202,2,
144,0,2016,0,0,0.0201342,0,0,8.47157,5.0172801,6.68648,6.6955199,9.0302801,7.8889399,2,
145,0,2016,0,0,0,0,0,8.5441504,6.0426302,6.7877202,6.5390801,8.96593,7.86057,2,
146,0,2016,0,0,0.0067114,0,0,8.6193895,5.1700802,6.3985901,6.0375199,8.8987999,7.6125798,3,
147,0,2017,0,0,0,0,0,7.8233299,6.0375199,3.43399,6.9005499,8.1825399,7.09091,2,0
148,0,2017,0,0,0.134228,0,0,7.9756098,4.1108699,6.44731,6.6463399,8.32796,6.69206,2,0
149,0,2017,0,0,0,0,0,8.1236897,5.6021199,7.1155801,5.8021202,8.4569902,5.9414201,3,0
150,0,2017,0,0,0,0,0,8.0531101,5.3909101,7.51262,5.4847999,8.5725203,5.5959301,2,0
151,0,2017,0,0,0,0,0,7.8558002,5.9059,7.76332,6.65835,8.6768703,6.0349398,5,0
152,0,2017,0,0,0,0.0067114,0,7.5956998,5.6919298,7.6898599,6.93923,8.7718897,6.19311,1,0
153,0,2017,0,0,0.167785,0,0,7.2486501,3.43399,7.68607,6.9966998,8.8590298,4.6928701,2,0
154,0,2017,0,0,0.0872483,0,0,6.7170901,4.1108699,7.6928601,6.8193402,8.9394398,6.1835999,3,0
155,0,2017,0,0,0,0,0,5.5959301,5.3094902,7.6374602,6.3948398,9.0140495,5.7071099,1,0
156,0,2017,0,0,0.100671,0,0,5.3094902,3.77107,7.6619601,3.43399,9.0836201,6.64329,3,0
157,0,2017,0,0,0,0,0,4.6928701,5.98037,7.7561102,6.08178,9.1487703,7.12994,2,0
158,0,2017,0,0,0,0,0,5.8021202,5.5503201,7.8655701,6.8035102,9.2100096,7.15031,3,0
159,0,2017,0,0,0,0,0,5.6082301,6.2761798,7.7327199,6.4288602,9.2677898,6.8766799,4,0
160,0,2017,0,0,0,0,0,5.35186,6.3460002,7.6419401,6.2632599,9.3224602,6.8954902,4,0
161,0,2017,0,0,0,0,0,0,5.9537301,7.5263901,6.8485799,9.3743401,7.1825199,2,0
162,0,2017,0,0,0,0,0,4.7957902,5.5434499,7.2733102,7.02491,9.4236898,7.4885402,1,0
163,0,2017,0,0,0,0,0,5.0172801,6.28722,7.0798602,6.8367801,9.4707499,7.2375998,0,0
164,0,2017,0,0,0,0,0,5.0172801,6.36904,7.03966,6.53053,9.5157204,7.07376,1,0
165,0,2017,0,0,0,0,0,5.0172801,6.2432299,7.03966,5.5434499,9.5587702,7.1261702,7,0
166,0,2017,0,0,0,0.0067114,0,5.0172801,6.27777,7.01302,5.2631798,9.6000605,7.3480701,12,0
167,0,2017,0,0.0067114,0,0.0402685,0,3.43399,6.32621,7.1086998,6.23809,9.6182604,7.3935299,2,0
168,0,2017,0,0,0,0,0,3.43399,6.2363701,7.3593302,6.8112102,9.6201696,7.4328499,1,0
169,0,2017,0,0,0,0,0,3.43399,6.0349398,7.4285798,7.1907701,9.6236401,7.37848,2,0
170,0,2017,0,0,0.0201342,0,0,3.43399,4.1108699,7.0468702,7.0899701,9.6286602,6.9149599,1,0
171,0,2017,0,0,0,0,0,0,5.2508898,6.5883799,6.6308999,9.63517,6.0650301,1,0
172,0,2017,0,0,0.0201342,0,0,5.0172801,4.8542099,6.5149598,6.4748302,9.6431103,5.6261301,1,0
173,0,2017,0,0,0,0,0,4.51086,5.6021199,6.7010002,6.5314898,9.6202803,6.7223401,1,0
174,0,2017,0,0,0.107383,0.0134228,0,0,4.2207098,5.3909101,5.3619099,9.5811996,5.9476099,2,0
175,0,2017,0,0,0,0,0,6.1539502,5.5570998,5.98037,5.8062201,9.5406799,6.0576701,2,0
176,0,2017,0,0,0,0,0,6.9425998,6.3174801,6.8625798,6.6765699,9.4986095,6.8766799,1,0
177,0,2017,0,0,0.0536913,0,0,7.3863201,4.5629802,6.5419002,7.1083999,9.4548798,7.349,1,
178,0,2017,0,0,0,0,0,7.6922102,6.3070898,6.77672,6.4937501,9.40938,7.6723099,1,
179,0,2017,0,0,0.0738255,0,0,7.9295702,4.1108699,6.2432299,4.1108699,9.3619804,7.6792898,2,
180,0,2017,0,0,0,0,0,8.1226196,6.2934198,4.6928701,6.23809,9.3125601,7.5724201,1,
181,0,2017,0,0,0,0,0,8.2844,6.9237599,6.5419002,6.77496,9.2609901,7.5479999,2,
182,0,2017,0,0,0,0,0,8.3078098,6.9289699,5.8888798,6.6409898,9.2070999,7.6179399,1,
183,0,2017,0,0,0,0,0,8.3487797,7.0643001,5.4847999,6.9675899,9.1507797,7.7508898,2,
184,0,2017,0,0,0,0,0,8.4050102,6.6214099,6.7345901,6.75701,9.0918798,7.8467202,2,
185,0,2017,0,0,0.0201342,0,0,8.47157,5.0172801,6.68648,6.6955199,9.0302801,7.8889399,2,
186,0,2017,0,0,0,0,0,8.5441504,6.0426302,6.7877202,6.5390801,8.96593,7.86057,2,
187,0,2017,0,0,0.0067114,0,0,8.6193895,5.1700802,6.3985901,6.0375199,8.8987999,7.6125798,3,
229,0,2016,0,0.0134228,0,0.154362,0,6.0956998,6.1310301,7.4448299,6.1835999,9.5772104,7.0643001,1,0
230,0,2016,0,0.033557,0,0.375839,0,6.2223601,6.9028301,7.4874201,6.8913202,9.5775604,6.9354,2,0
231,0,2016,0,0,0,0,0,6.3473902,6.9699798,7.6205502,7.2147298,9.5796299,7.02847,2,0
232,0,2016,0,0,0,0,0,6.3473902,6.7409201,7.5946698,7.3909702,9.5833998,7.2634602,2,0
233,0,2016,0,0,0,0,0,6.41817,6.1539502,7.3532701,6.9289699,9.58883,6.75701,1,0
234,0,2016,0,0,0,0,0,6.3985901,5.6261301,7.1566401,6.0451698,9.59587,6.0001602,2,8.3333302
235,0,2016,0,0,0.557047,0.0067114,0,6.5883799,0,7.1342502,5.0367599,9.6044598,5.8640299,1,0
236,0,2016,0,0,0.0067114,0,0,5.35186,5.1700802,6.95258,5.6082301,9.6103497,6.5745301,6,0
237,0,2016,0,0,0.0805369,0.0402685,0,5.5503201,4.51086,6.5419002,4.45263,9.5704603,6.8155699,5,0
238,0,2016,0,0,0,0.0067114,0,5.7500601,5.9687099,6.64329,5.3909101,9.5290203,6.8367801,1,0
239,0,2016,0,0,0,0,0,6.8084798,6.5390801,7.0824099,6.6700902,9.4858999,7.15031,3,0
240,0,2016,0,0,0,0,0,7.3102798,6.5390801,7.1642499,6.9591298,9.441,7.47367,5,
241,0,2016,0,0,0,0,0,7.6442199,6.14574,7.1642499,6.1202598,9.3941603,7.7247801,8,
242,0,2016,0,0,0.0939597,0,0,7.8951702,0,6.72754,0,9.3452196,7.7843399,8,
243,0,2016,0,0,0,0,0,8.0879498,6.2632599,6.5029502,6.28722,9.2940302,7.8365002,1,
244,0,2016,0,0,0,0,0,8.12321,6.9871802,6.8625798,6.1640301,9.2404003,7.8222499,6,
245,0,2016,0,0,0,0,0,8.1524296,7.29702,6.5521002,5.3619099,9.1841202,7.6907001,4,
246,0,2016,0,0,0,0,0,8.2075396,7.2986698,6.4726901,6.6409898,9.12498,7.5956998,4,
247,0,2016,0,0,0,0,0,8.2808304,6.8684602,6.9404898,6.0001602,9.0627499,7.5803399,3,
248,0,2016,0,0,0,0,0,8.3646698,6.4288602,7.2389898,5.6261301,8.9972095,7.65027,3,
249,0,2016,0,0,0,0,0,8.4530897,6.5710101,7.09091,6.7223401,8.9281397,7.7561102,3,
250,0,2016,0,0,0,0,0,8.54107,5.6261301,6.3985901,6.7576199,8.85534,7.5468702,4,
251,0,2017,0,0,0.0872483,0,0,7.6311498,4.8542099,5.71207,6.3130498,8.1291504,6.87572,0,0
252,0,2017,0,0,0,0,0,7.83951,5.3619099,6.5493398,5.3909101,8.2885904,5.9414201,1,0
253,0,2017,0,0,0.33557,0,0,8.0261602,3.43399,7.1444502,5.4357901,8.4268503,5.5959301,1,0
254,0,2017,0,0,0.147651,0.0067114,0,7.9914799,3.43399,7.5258698,3.43399,8.5487499,6.6332502,4,0
255,0,2017,0,0,0.033557,0,0,7.7725902,5.0172801,7.8036199,5.8378801,8.65767,6.8913202,1,0
256,0,2017,0,0,0.100671,0,0,7.4988699,4.82586,7.9304399,6.10252,8.7560701,6.73523,1,0
257,0,2017,0,0,0,0,0,7.1307998,5.8923302,7.9281101,6.29496,8.8457699,6.5419002,2,0
258,0,2017,0,0.0067114,0,0,0,6.5295701,5.3814301,7.9252901,6.2825198,8.9281702,5.6490402,0,0
259,0,2017,0,0,0.187919,0,0,4.82586,3.43399,7.8912201,4.51086,9.0043602,5.3909101,3,10.4167004
260,0,2017,0,0,0.127517,0,0,6.1114702,3.43399,7.9061098,0,9.0752001,6.5419002,9,0
261,0,2017,0,0,0,0.0067114,0,3.43399,6.2483101,7.96595,6.36904,9.1413803,7.1533499,1,0
262,0,2017,0,0,0,0,0,6.0722799,5.2121201,8.0386496,6.7151098,9.2034798,6.8367801,2,0
263,0,2017,0,0,0,0,0.0134228,0,5.3909101,7.9484501,5.5503201,9.2619801,6.0576701,1,0
264,0,2017,0,0,0.0067114,0,0,5.7361498,5.1985002,7.8914099,5.35186,9.3172503,6.14781,1,0
265,0,2017,0,0,0,0.0402685,0,6.1289001,6.42768,7.73315,6.6982698,9.3696499,6.8894601,3,0
266,0,2017,0,0,0,0.322148,0,6.5806398,5.3619099,7.5808101,7.2520499,9.4194403,7.2905698,2,0
267,0,2017,0,0,0,0,0,6.6109099,5.7810798,7.4798698,7.0921602,9.4668798,6.8490901,1,0
268,0,2017,0,0,0,0,0,6.6214099,6.29496,7.4622102,6.4035602,9.5121899,6.3808098,2,0
269,0,2017,0,0,0.0201342,0,0,6.1289001,4.45263,7.4622102,4.1108699,9.5555296,6.56389,5,0
270,0,2017,0,0.0134228,0,0.154362,0,6.0956998,6.1310301,7.4448299,6.1835999,9.5772104,7.0643001,1,0
271,0,2017,0,0.033557,0,0.375839,0,6.2223601,6.9028301,7.4874201,6.8913202,9.5775604,6.9354,2,0
272,0,2017,0,0,0,0,0,6.3473902,6.9699798,7.6205502,7.2147298,9.5796299,7.02847,2,0
273,0,2017,0,0,0,0,0,6.3473902,6.7409201,7.5946698,7.3909702,9.5833998,7.2634602,2,0
274,0,2017,0,0,0,0,0,6.41817,6.1539502,7.3532701,6.9289699,9.58883,6.75701,1,0
275,0,2017,0,0,0,0,0,6.3985901,5.6261301,7.1566401,6.0451698,9.59587,6.0001602,2,8.3333302
276,0,2017,0,0,0.557047,0.0067114,0,6.5883799,0,7.1342502,5.0367599,9.6044598,5.8640299,1,0
277,0,2017,0,0,0.0067114,0,0,5.35186,5.1700802,6.95258,5.6082301,9.6103497,6.5745301,6,2.0833299
278,0,2017,0,0,0.0805369,0.0402685,0,5.5503201,4.51086,6.5419002,4.45263,9.5704603,6.8155699,5,0
279,0,2017,0,0,0,0.0067114,0,5.7500601,5.9687099,6.64329,5.3909101,9.5290203,6.8367801,1,0
280,0,2017,0,0,0,0,0,6.8084798,6.5390801,7.0824099,6.6700902,9.4858999,7.15031,3,0
281,0,2017,0,0,0,0,0,7.3102798,6.5390801,7.1642499,6.9591298,9.441,7.47367,5,
282,0,2017,0,0,0,0,0,7.6442199,6.14574,7.1642499,6.1202598,9.3941603,7.7247801,8,
283,0,2017,0,0,0.0939597,0,0,7.8951702,0,6.72754,0,9.3452196,7.7843399,8,
284,0,2017,0,0,0,0,0,8.0879498,6.2632599,6.5029502,6.28722,9.2940302,7.8365002,1,
285,0,2017,0,0,0,0,0,8.12321,6.9871802,6.8625798,6.1640301,9.2404003,7.8222499,6,
286,0,2017,0,0,0,0,0,8.1524296,7.29702,6.5521002,5.3619099,9.1841202,7.6907001,4,
287,0,2017,0,0,0,0,0,8.2075396,7.2986698,6.4726901,6.6409898,9.12498,7.5956998,4,
288,0,2017,0,0,0,0,0,8.2808304,6.8684602,6.9404898,6.0001602,9.0627499,7.5803399,3,
289,0,2017,0,0,0,0,0,8.3646698,6.4288602,7.2389898,5.6261301,8.9972095,7.65027,3,
290,0,2017,0,0,0,0,0,8.4530897,6.5710101,7.09091,6.7223401,8.9281397,7.7561102,3,
291,0,2017,0,0,0,0,0,8.54107,5.6261301,6.3985901,6.7576199,8.85534,7.5468702,4,
359,0,2016,0,0,0,0.0738255,0,6.9207001,5.8183298,7.74544,5.7071099,9.53475,6.7268901,3,0
360,0,2016,0,0,0,0,0,6.9951901,5.9945798,7.7692199,6.8035102,9.5351295,6.08178,5,0
361,0,2016,0,0,0,0,0,7.0656099,6.2483101,7.8492699,7.31389,9.5373802,6.45961,4,0
362,0,2016,0,0,0,0,0,7.0656099,6.0375199,7.7855902,7.44345,9.5414801,7.0560002,2,0
363,0,2016,0,0,0,0,0,7.09588,5.3619099,7.6341,7.05196,9.54739,6.70575,2,0
364,0,2016,0,0,0,0,0,7.09091,5.5959301,7.53159,6.3473902,9.5550299,5.7071099,2,0
365,0,2016,0,0,0.637584,0,0,6.5419002,3.43399,7.5211401,0,9.5643396,5.35186,1,0
366,0,2016,0,0,0.0067114,0.0067114,0,4.6928701,5.1985002,7.31249,5.6021199,9.5752201,5.9687099,1,0
367,0,2016,0,0,0.0067114,0.0067114,0,5.8640299,5.2631798,7.1533499,5.3094902,9.5612602,6.8987098,2,0
368,0,2016,0,0,0.0134228,0,0,5.3909101,4.7957902,7.18537,5.8183298,9.5190201,7.3182602,2,0
369,0,2016,0,0,0,0,0,6.69206,6.36904,7.37988,6.6955199,9.4750004,7.4619198,2,0
370,0,2016,0,0,0,0,0,7.21351,6.77672,7.5453601,7.0633101,9.4290504,7.42873,2,
371,0,2016,0,0,0,0,0,7.5689502,6.5390801,7.4266701,6.5237799,9.3810196,7.4196,2,
372,0,2016,0,0,0,0,0,7.8344598,5.3094902,7.2154598,5.2121201,9.3307199,7.5243001,3,
373,0,2016,0,0,0,0,0,7.9281101,5.7680202,7.1422,5.8640299,9.2779398,7.6921101,2,
374,0,2016,0,0,0,0,0,7.9281101,6.7402902,7.2707,5.9716501,9.2224503,7.6433902,2,
375,0,2016,0,0,0,0,0,7.9706998,6.7790499,7.1339598,5.1985002,9.16399,7.4236302,2,
376,0,2016,0,0,0,0,0,8.0481701,6.8367801,7.1104999,6.6493702,9.1022596,7.2486501,2,
377,0,2016,0,0,0,0,0,8.1464195,7.1107998,7.2901502,5.9414201,9.0369501,7.2174001,1,
378,0,2016,0,0,0,0,0,8.25352,7.09866,7.5190201,5.5959301,8.96768,7.3443198,3,
379,0,2016,0,0,0,0,0,8.3602505,6.5875301,7.1410699,6.7446799,8.8940802,7.5093799,3,
380,0,2016,0,0,0,0,0,8.4640198,5.6261301,6.5745301,6.0956998,8.8157301,7.5760999,3,
381,0,2016,0,0,0,0,0,8.5560303,6.0349398,5.9687099,5.0172801,8.7322397,7.2279601,3,
382,0,2016,0,0,0,0,0,8.55198,6.5295701,6.5745301,5.3619099,8.6432695,6.73523,2,
383,0,2016,0,0,0,0,0,8.45438,5.6490402,7.0890298,5.8888798,8.5486803,5.9716501,2,
384,0,2017,0,0.033557,0.161074,0.127517,0.127517,0,3.43399,7.22223,0,7.1365399,7.1059799,2,0
385,0,2017,0,0.0536913,0,0.228188,0,4.51086,5.9537301,7.1155801,6.1855202,6.8171902,7.4058199,2,0
386,0,2017,0,0.510067,0,0.0067114,0,3.43399,5.4357901,7.22223,6.35289,6.6605701,7.2417698,2,0
387,0,2017,0,0.134228,0,0.033557,0,4.8542099,5.9537301,7.4497299,5.9716501,6.8257599,7.1396599,7,0
388,0,2017,0,0,0,0,0,5.7680202,6.1835999,7.33846,6.32621,7.09091,7.2326798,13,0
389,0,2017,0,0,0,0,0,6.4573898,6.2097702,6.8880501,6.1114702,7.3414898,7.2748199,2,0
390,0,2017,0,0,0,0.0067114,0,5.35186,5.4847999,6.2648902,5.4847999,7.5689502,6.7877202,4,0
391,0,2017,0,0.0671141,0.0067114,0.14094,0,5.35186,5.3094902,6.0426302,5.4357901,7.7655902,6.12675,2,0
392,0,2017,0,0.221477,0.348993,0.214765,0,5.1985002,0,5.98037,3.43399,7.94806,5.2631798,7,0
393,0,2017,0,0.0067114,0,0.0671141,0,5.35186,5.5149899,6.55302,6.12675,8.0606604,6.14574,0,0
394,0,2017,0,0,0,0,0,4.2207098,5.4925199,6.73523,6.36904,7.9341602,6.9639802,0,0
395,0,2017,0,0.033557,0,0.0939597,0,3.43399,5.6082301,7.1566401,3.43399,7.6921101,7.2733102,5,0
396,0,2017,0,0.0067114,0.107383,0,0,5.1399398,4.2207098,7.4874201,6.2415199,7.3721199,7.34582,2,0
397,0,2017,0,0,0.0067114,0,0,5.0172801,5.3094902,7.1547298,6.4562802,6.8987098,7.5263901,1,0
398,0,2017,0,0,0.033557,0,0,4.7957902,5.0172801,6.8023901,5.2631798,5.9687099,7.4966502,1,0
399,0,2017,0,0,0,0,0.738255,4.51086,5.4357901,6.7307501,5.8021202,5.0172801,7.1830401,0,0
400,0,2017,0,0,0,0,0.0671141,4.51086,5.6970401,6.5465598,5.7071099,6.55302,6.74965,0,0
401,0,2017,0,0,0.127517,0,0,0,4.1108699,4.8542099,5.5149899,4.7957902,6.44731,0,0
402,0,2017,0,0,0.308725,0,0,4.5629802,4.51086,5.9687099,5.3814301,5.8603802,6.7371302,1,0
403,0,2017,0,0,0.187919,0,0,4.45263,4.45263,6.55302,5.0367599,6.8230901,5.5149899,1,0
404,0,2017,0,0,0.033557,0,0.174497,5.8923302,4.7957902,5.0172801,5.8923302,7.3210301,5.6919298,1,0
405,0,2017,0,0,0.161074,0,0.120805,6.6948299,3.43399,6.2632599,3.77107,7.6538301,6.6237998,0,0
406,0,2017,0,0,0.0469799,0,0,7.1023302,4.45263,6.9719701,6.2632599,7.9035902,6.9554501,0,0
407,0,2017,0,0,0,0,0,7.44912,5.3814301,6.80406,5.35186,8.1034698,6.3174801,0,0
408,0,2017,0,0,0.308725,0,0,7.7272401,3.43399,7.0026898,5.3814301,8.27005,5.6261301,1,0
409,0,2017,0,0,0.261745,0,0,7.9516401,3.43399,7.3298202,0,8.4128504,5.7071099,2,0
410,0,2017,0,0,0,0,0,7.8508401,5.9945798,7.6208701,6.0138202,8.5378103,6.2934198,3,0
411,0,2017,0,0,0,0,0,7.6841698,5.4925199,7.8603101,5.9716501,8.6489,6.6109099,2,0
412,0,2017,0,0,0.268456,0,0,7.3931899,3.43399,8.0589104,5.0172801,8.7488699,6.96839,2,0
413,0,2017,0,0,0.268456,0,0,6.9719701,3.43399,8.12321,5.0910201,8.8397598,6.8606,0,0
414,0,2017,0,0.550336,0,0,0.208054,6.1835999,5.5503201,8.1165199,6.1835999,8.9230804,6.1114702,0,0
415,0,2017,0,0,0.187919,0.0134228,0,4.1108699,4.1108699,8.0935202,5.7071099,8.9999905,5.0172801,3,0
416,0,2017,0,0,0.107383,0,0,6.4109201,4.82586,8.1035099,5.2631798,9.0714102,6.6214099,10,0
417,0,2017,0,0,0.0201342,0,0,4.51086,5.1985002,8.1445999,5.8021202,9.1380596,6.9707799,2,0
418,0,2017,0,0,0,0,0,0,5.4925199,8.1951799,6.4906502,9.2005596,6.4518099,2,0
419,0,2017,0,0,0.208054,0,0,5.8923302,0,8.1308699,5.6082301,9.2593699,5.4847999,1,0
420,0,2017,0,0,0.0067114,0,0,6.7151098,5.2508898,8.0481701,6.2346401,9.3149204,5.8183298,2,0
421,0,2017,0,0,0,0.0067114,0,6.9145198,5.71207,7.9281101,6.9167299,9.3669996,6.8171902,3,0
422,0,2017,0,0,0,0.0067114,0,7.1634402,6.1289001,7.8302102,6.9005499,9.4158497,7.2088499,2,0
423,0,2017,0,0,0,0,0,7.1953502,5.5149899,7.7681799,6.9707799,9.4625397,6.6222,1,0
424,0,2017,0,0,0.0268456,0,0,7.16962,4.82586,7.7583299,6.60185,9.5072203,5.0367599,1,0
425,0,2017,0,0,0.0134228,0,0,6.9272399,5.1985002,7.7583299,5.2121201,9.5362597,6.0426302,8,0
426,0,2017,0,0,0,0.0738255,0,6.9207001,5.8183298,7.74544,5.7071099,9.53475,6.7268901,3,0
427,0,2017,0,0,0,0,0,6.9951901,5.9945798,7.7692199,6.8035102,9.5351295,6.08178,5,0
428,0,2017,0,0,0,0,0,7.0656099,6.2483101,7.8492699,7.31389,9.5373802,6.45961,4,0
429,0,2017,0,0,0,0,0,7.0656099,6.0375199,7.7855902,7.44345,9.5414801,7.0560002,2,0
430,0,2017,0,0,0,0,0,7.09588,5.3619099,7.6341,7.05196,9.54739,6.70575,2,0
